Brand,Make_Model,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Volkswagen,Volkswagen Golf (GTI),23/01/2024,"€16,257.00",2014,"57,232 miles",Hatchback,Automatic,Petrol,Volkswagen Golf2.0 TSI BlueMotion Tech GTI DSG Euro 6 (s/s) 5dr,Dublin
Volkswagen,Volkswagen Taigo (TSI),2024-01-25,"€28,860.00",2022,"4,053",SUV,Automatic,Petrol,Grey Volkswagen Taigo1.5 TSI 150 R-Line 5dr DSG,Monaghan
Volkswagen,Volkswagen Tiguan (TDI),25/01/2024,"€12,388.00",2014,"31,081",S.U.V.,Automatic,Diesel,Volkswagen Tiguan2.0 TDI BlueMotion Tech Match DSG 4WD Euro 5 (s/s) 5dr1 previous owner,Dublin
Volkswagen,Volkswagen Tiguan (Match Edition),27/01/2024,"€12,722.00",2016,"55,109",SUV,Manual,Diesel,Grey Volkswagen Tiguan2.0 TDi BlueMotion Tech Match Edition 150 5dr 2WD3 previous owners,Dublin
Volkswagen,Volkswagen Golf (R),27/01/2024,"€21,435.00",2017,"49,394",Hatchback,Manual,Petrol,Navy Volkswagen Golf2.0 R 3d 298 BHP STUNNING LOOKING CAR!!!,Dublin
Volkswagen,Volkswagen Golf (SE),31/01/2024,"€9,783.00",2013,"50,464",Hatchback,Automatic,Diesel,Blue Volkswagen Golf1.6 TDI BlueMotion Tech SE DSG Euro 5 (s/s) 5dr,Dublin
Volkswagen,Volkswagen Touareg (BlueMotion Tech),02/02/2024,"€ 12,073",2013,"142,178",SUV,Automatic,Diesel,Blue Volkswagen Touareg3.0 TDI V6 BlueMotion Tech R-Line Tiptronic 4WD Euro 5 (s/s) 5dr6 previous owners,Kerry
Volkswagen,Volkswagen Golf (R-Line),03/02/2024,"€ 16,225",2018,"60,034",Hatchback,Manual,Diesel,Blue Volkswagen Golf2.0 TDI R-Line 5dr Diesel Hatchback,Dublin
Volkswagen,Volkswagen Tiguan (TSI),06/02/2024,"€30,137.00",2022,146,SUV,Automatic,Petrol,Red Volkswagen Tiguan1.5 TSI Life DSG Euro 6 (s/s) 5dr,Clare
Volkswagen,Volkswagen Passat (TDI),10/02/2024,"€9,364.00",2013,"97,329 miles",Estate,Automatic,Diesel,Navy Volkswagen Passat2.0 TDI BlueMotion Tech Alltrack DSG 4Motion Euro 5 (s/s) 5dr3 previous owners,Kildare
Volkswagen,Volkswagen Tiguan Allspace (TDI),11/02/2024,"€24,781.00",2019,"19,085",SUV,Manual,Diesel,Blue Volkswagen Tiguan Allspace1.5 TSI EVO SE Nav 5dr Bluetooth,Roscommon
Volkswagen,Volkswagen Tiguan (R-Line),12/02/2024,"€42,370.00",2022,402,SUV,Automatic,Diesel,Black Volkswagen Tiguan2.0 TDI R-Line DSG 4Motion Euro 6 (s/s) 5dr,Clare
Volkswagen,Volkswagen Golf (Match),13/02/2024,"€5,440.00",2011,"100,339",Hatchback,Manual,Diesel,Volkswagen Golf2.0 TDI Match Euro 5 5dr3 previous owners,Limerick
Volkswagen,Volkswagen Golf (TSI EVO),2024-02-22,"€ 18,118",2019,"2,489",Hatchback,Manual,Petrol,Volkswagen Golf1.5 TSI EVO 150 SE [Nav] 5dr,Kildare
Volkswagen,Volkswagen Passat (TDI),23/02/2024,"€11,973.00",2014,"56,405",Estate,Manual,Diesel,Red Volkswagen Passat2.0 EXECUTIVE TDI BLUEMOTION TECHNOLOGY 5d 139 BHP,Cork
Volkswagen,Volkswagen CC (TDI),24/02/2024,"€10,826.00",2016,"78,363",Saloon,Automatic,Diesel,Blue Volkswagen CC2.0 GT TDI BLUEMOTION TECHNOLOGY DSG 4d 148 BHP FINANCE ME TODAY 4.9%2 previous owners,Donegal
Volkswagen,Volkswagen Golf (SE Nav),25/02/2024,"€16,840.00",2018,"14,424",Hatchback,Manual,Petrol,Blue Volkswagen Golf1.4 SE NAVIGATION TSI BLUEMOTION TECHNOLOGY 5d 124 BHP SAT NAV,Dublin
Volkswagen,Volkswagen Passat (TDI),25/02/2024,"€12,469.00",2015,"64,995",Estate,Automatic,Diesel,Blue Volkswagen Passat2.0 TDI SE Business 5dr DSG,Dublin
Volkswagen,Volkswagen Golf (R),25/02/2024,"€22,711.00",2017,"21,986",Hatchback,Manual,Petrol,Red Volkswagen Golf2.0 TSI BlueMotion Tech R 4Motion Euro 6 (s/s) 3dr3 previous owners,Wicklow
Volkswagen,Volkswagen Golf (TSI EVO),28/02/2024,"€17,775.00",2019,"16,407 miles",Hatchback,Manual,Petrol,Volkswagen GolfSE Nav 1.5 TSI EVO 130PS 6-speed Manual 5 Door1 previous owner,Wicklow
Volkswagen,Volkswagen Polo (TSI),01/03/2024,"€11,998.00",2016,"37,874",Hatchback,Automatic,Petrol,Red Volkswagen Polo1.2 TSI BlueMotion Tech Match DSG (s/s) 5dr2 previous owners,Longford
Volkswagen,Volkswagen Golf (TSI),02/03/2024,"€9,828.00",2010,"91,371 miles",Hatchback,Manual,Petrol,Silver Volkswagen Golf2.0 TSI GTI 3dr,Dublin
Volkswagen,Volkswagen Polo (SEL),02/03/2024,"€13,650.00",2018,"44,982",Hatchback,Manual,Petrol,Silver Volkswagen PoloMK6 Hatchback 5Dr 1.0 TSI 115PS SEL,Dublin
Volkswagen,Volkswagen Golf (S),02/03/2024,"€2,142.00",2011,"141,311",Estate,Manual,Diesel,Black Volkswagen Golf1.6 TDI BlueMotion Tech S Euro 5 (s/s) 5dr,Tipperary
Volkswagen,Volkswagen Tiguan (BlueMotion Tech),05/03/2024,"€11,342.00",2015,"56,971 miles",SUV,Manual,Diesel,Silver Volkswagen TiguanMATCH TDI BLUEMOTION TECHNOLOGY 2.0 5dr4 previous owners,Dublin
Volkswagen,Volkswagen Golf (R),2024-03-05,"€25,303.00",2018,"35,158",Hatchback,Automatic,Petrol,Blue Volkswagen Golf2.0 TSI R Hatchback 5dr Petrol DSG 4Motion Euro 6 (s/s) (310 ps)1 previous owner,Dublin
